
N8N CRUD Agent - Operation: list
✓ Found 41 workflow(s)

--- Workflows ---
  [ACTIVE] mf4qnUG7UlrAKpQU | DB_Cancel_Booking
  [ACTIVE] oi5AiSoJRbzDf2A8 | DB_Find_Next_Available
  [INACTIVE] zdUslfT9C0sTI83H | DB_Get_Availability
  [ACTIVE] a2biGljAt5Cqig1C | GCAL_Delete_Event
  [ACTIVE] uHSnVdLiMkEmpJZE | GMAIL_Send_Confirmation
  [INACTIVE] B1VnkirO5dF20MHg | NN_00_Global_Error_Handler
  [ACTIVE] MZfYRe4ZDgUeWW64 | NN_01_Booking_Gateway
  [ACTIVE] f80XLogu45Zg1TSM | NN_02_Message_Parser
  [ACTIVE] PTJmDjgXfi14rdRW | NN_03_AI_Agent
  [ACTIVE] WE7DxLKAECtsA8Up | NN_04_Telegram_Sender
  [INACTIVE] trmFIo0zClyF38L8 | NN_05_Reminder_Cron
  [ACTIVE] F2F5oQ7okPDKwg9E | DB_Reschedule_Booking
  [ACTIVE] 9aK8rsjujaBEDmDp | BB_00_Config
  [ACTIVE] EfQxqiSRjdJapQIY | FRONTEND_Landing_Page
  [ACTIVE] cNC4U2Bg6HoX09YP | DB_Get_Providers
  [ACTIVE] N2mFFyKLf7365OB9 | DB_Get_Services
  [ACTIVE] koGljfSXUzYESNoh | DB_Get_Providers_By_Service
  [INACTIVE] WIHlHlgqRAWEFuWv | My workflow
  [ACTIVE] X3D2dWkBu8QLlNSm | NN_03-B_Pipeline_Agent
  [INACTIVE] G15qrYLDth6n5WR7 | CB_GCal_Circuit_Breaker
  [INACTIVE] DW3wMB9KP5BR4JoM | WF2_Booking_Orchestrator_Error_Handler
  [INACTIVE] mEe6l6iIoXzIABJW | WF4_Sync_Engine_Event_Driven
  [ACTIVE] 6zftqMdtBAT0QaCt | WF3_Availability_Service
  [INACTIVE] vsnXdMVEOJf1thmj | WF4_Sync_Engine
  [ACTIVE] hJtyeGLsMtOxLbAd | WF6_Rollback_Workflow
  [ACTIVE] fhjJXp5DWLjbsem1 | WF7_Distributed_Lock_System
  [ACTIVE] 3qjxakUfnVlfvlwj | Diagnostic Test
  [ACTIVE] 6RDslq06ZS78Zph1 | CB_01_Check_State
  [ACTIVE] bT0r2EmUqGjc6Ioz | CB_02_Record_Result
  [ACTIVE] XRMU2cqA3fxU9e2I | DLQ_01_Add_Entry
  [ACTIVE] 85HqM7BIAApvfKbm | DLQ_02_Get_Status
  [INACTIVE] Ns2XLxQCaVsVTpSC | DLQ_Retry
  [ACTIVE] mSDwCAcyfLzJwvrb | WF5_GCal_Collision_Check
  [ACTIVE] Z7g7DgxXQ61V368P | WF2_Booking_Orchestrator
  [ACTIVE] 2G9ffjvKyF5bqDT5 | WF1_Booking_API_Gateway
  [ACTIVE] OK1i9Rpk3T3o30jS | TEST_GCal_Connection
  [ACTIVE] 74zsMccewOLqJ8lD | TEST_GCal_Minimal
  [INACTIVE] LIPSYlD7LHfFnAHW | SEED_Book_Tomorrow
  [INACTIVE] GaVFL3VwVy5qUrqf | WF8_Booking_Queue_Worker
  [INACTIVE] T3peNeEvQz2HFtxr | WF1_Booking_API_Gateway_Async
  [INACTIVE] 3wWhCGCVrjFtcLfP | WF9_Booking_Intent_Status
